employee_id,first_name,last_name,department,job_title,salary,hire_date,performance_rating,email
EMP0001,Emily,Johnson,Operations,Manager,,2015-01-01 00:00:00.000000,1.0,michael.williams@company.com
EMP0002,Michael,Brown,Operations,Junior,107040.01,2015-01-04 00:00:00.000000,4.0,sarah.johnson@company.com
EMP0003,David,Brown,Engineering,Senior,53211.13,2015-01-07 00:00:00.000000,3.0,jane.williams@company.com
EMP0004,Michael,Brown,Operations,Lead,67693.82,2015-01-10 00:00:00.000000,3.0,sarah.williams@company.com
EMP0005,Jane,Johnson,Finance,Junior,48383.75,2015-01-13 00:00:00.000000,5.0,michael.johnson@company.com
EMP0006,Sarah,Johnson,Engineering,Associate,74492.58,2015-01-16 00:00:00.000000,0.0,sarah.williams@company.com
EMP0007,Michael,Johnson,operations,Junior,35014.56,2015-01-19 00:00:00.000000,4.0,john.johnson@company.com
EMP0008,Sarah,Brown,HR,Manager,79309.73,2015-01-22 00:00:00.000000,5.0,john.johnson@company.com
EMP0009,Jane,Johnson,Sales,Associate,54470.22,2015-01-25 00:00:00.000000,5.0,john.williams@company.com
EMP0010,Jane,Johnson,operations,Manager,63952.66,2015-01-28 00:00:00.000000,3.0,john.johnson@company.com
EMP0011,John,Williams,hr,Lead,86209.05,2015-01-31 00:00:00.000000,2.0,john.smith@company.com
EMP0012,Jane,Johnson,Sales,Junior,82612.87,2015-02-03 00:00:00.000000,1.0,michael.williams@company.com
EMP0013,Jane,Smith,Operations,Lead,36200.63,2015-02-06 00:00:00.000000,3.0,sarah.williams@company.com
EMP0014,John,Smith,Marketing,Junior,57615.82,2015-02-09 00:00:00.000000,3.0,michael.smith@company.com
EMP0015,John,Jones,finance,Lead,51320.59,2015-02-12 00:00:00.000000,3.0,sarah.johnson@company.com
EMP0016,Jane,Williams,Engineering,Manager,6694973.0,2015-02-15 00:00:00.000000,2.0,john.williams@company.com
EMP0017,Sarah,Brown,Marketing,Associate,51074.85,2015-02-18 00:00:00.000000,1.0,jane.smith@company.com
EMP0018,Emily,Smith,operations,Associate,63991.57,2015-02-21 00:00:00.000000,3.0,jane.williams@company.com
EMP0019,David,Jones,Operations,Associate,97154.43,2015-02-24 00:00:00.000000,3.0,jane.williams@company.com
EMP0020,John,Williams,Engineering,Manager,56286.63,2015-02-27 00:00:00.000000,5.0,sarah.johnson@company.com
EMP0021,John,Williams,Sales,Lead,69415.05,2015-03-02 00:00:00.000000,5.0,sarah.johnson@company.com
EMP0022,David,Johnson,Engineering,Manager,84427.47,2015-03-05 00:00:00.000000,3.0,michael.williams@company.com
EMP0023,Jane,Smith,Operations,Lead,87579.46,2015-03-08 00:00:00.000000,3.0,michael.smith@company.com
EMP0024,Sarah,Smith,  HR  ,Lead,79191.16,2015-03-11 00:00:00.000000,4.0,sarah.smith@company.com
EMP0025,Michael,Williams,Engineering,Manager,,2015-03-14 00:00:00.000000,5.0,john.smith@company.com
EMP0026,David,Jones,Sales,Lead,97368.4,2015-03-17 00:00:00.000000,4.0,john.johnson@company.com
EMP0027,Michael,Johnson,Operations,Associate,65896.74,2015-03-20 00:00:00.000000,1.0,john.williams@company.com
EMP0028,David,Johnson,Engineering,Lead,114018.97,2015-03-23 00:00:00.000000,2.0,jane.johnson@company.com
EMP0029,John,Brown,Finance,Lead,62743.17,2015-03-26 00:00:00.000000,4.0,michael.smith@company.com
EMP0030,Emily,Williams,Sales,Senior,108244.48,2015-03-29 00:00:00.000000,1.0,jane.smith@company.com
EMP0031,John,Jones,Finance,Associate,89148.69,2015-04-01 00:00:00.000000,4.0,michael.smith@company.com
EMP0032,Jane,Williams,  marketing  ,Associate,75682.95,2015-04-04 00:00:00.000000,1.0,john.williams@company.com
EMP0033,Sarah,Johnson,Finance,Junior,35252.29,2015-04-07 00:00:00.000000,4.0,john.williams@company.com
EMP0034,David,Smith,Marketing,Senior,62114.87,2015-04-10 00:00:00.000000,2.0,john.smith@company.com
EMP0035,David,Brown,Sales,Associate,86987.23,2015-04-13 00:00:00.000000,1.0,jane.smith@company.com
EMP0036,David,Johnson,Engineering,Senior,,2015-04-16 00:00:00.000000,3.0,john.williams@company.com
EMP0037,Jane,Brown,Sales,Associate,99730.38,2015-04-19 00:00:00.000000,4.0,john.johnson@company.com
EMP0038,Emily,Smith,  HR  ,Junior,,2015-04-22 00:00:00.000000,3.0,jane.smith@company.com
EMP0039,Sarah,Smith,Sales,Manager,,2015-04-25 00:00:00.000000,1.0,john.johnson@company.com
EMP0040,Michael,Johnson,Sales,Senior,81848.02,2015-04-28 00:00:00.000000,5.0,john.smith@company.com
EMP0041,Jane,Jones,Operations,Senior,72815.95,2015-05-01 00:00:00.000000,1.0,jane.smith@company.com
EMP0042,David,Brown,  HR  ,Junior,58925.01,2015-05-04 00:00:00.000000,,sarah.johnson@company.com
EMP0043,John,Williams,HR,Lead,,2015-05-07 00:00:00.000000,,michael.smith@company.com
EMP0044,Sarah,Williams,Operations,Manager,71537.86,2015-05-10 00:00:00.000000,2.0,john.johnson@company.com
EMP0045,Michael,Smith,Sales,Senior,,2015-05-13 00:00:00.000000,3.0,john.williams@company.com
EMP0046,Emily,Williams,Operations,Manager,,2015-05-16 00:00:00.000000,4.0,jane.smith@company.com
EMP0047,John,Brown,HR,Lead,43185.04,2015-05-19 00:00:00.000000,3.0,sarah.smith@company.com
EMP0048,Sarah,Williams,Operations,Lead,78259.8,2015-05-22 00:00:00.000000,3.0,jane.williams@company.com
EMP0049,Michael,Smith,Operations,Junior,90711.78,2015-05-25 00:00:00.000000,1.0,sarah.williams@company.com
